,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,bottled water,UHT-milk,0.11052364006100661,0.03345195729537367,0.007320793085917641,0.06623735050597976,1.9800739885298204,0.0036235609984675977,1.0351110565713586
1,UHT-milk,bottled water,0.03345195729537367,0.11052364006100661,0.007320793085917641,0.21884498480243159,1.9800739885298202,0.0036235609984675977,1.1386681806222911
2,other vegetables,UHT-milk,0.1934926283680732,0.03345195729537367,0.00813421453990849,0.04203888596952181,1.256694357174003,0.001661507398770098,1.0089637549461896
3,UHT-milk,other vegetables,0.03345195729537367,0.1934926283680732,0.00813421453990849,0.243161094224924,1.2566943571740028,0.001661507398770098,1.0656262058911803
4,rolls/buns,UHT-milk,0.18393492628368074,0.03345195729537367,0.006405693950177936,0.03482587064676617,1.0410712395469461,0.00025271065100854456,1.0014234875444838
5,UHT-milk,rolls/buns,0.03345195729537367,0.18393492628368074,0.006405693950177936,0.19148936170212766,1.0410712395469461,0.00025271065100854456,1.0093436438070265
6,soda,UHT-milk,0.17437722419928825,0.03345195729537367,0.007625826131164209,0.043731778425655975,1.3073010359158859,0.0017925666739638194,1.0107499349014843
7,UHT-milk,soda,0.03345195729537367,0.17437722419928825,0.007625826131164209,0.22796352583586624,1.307301035915886,0.0017925666739638194,1.0694090284977722
8,yogurt,UHT-milk,0.13950177935943062,0.03345195729537367,0.007422470767666497,0.0532069970845481,1.590549593697661,0.0027558632019061844,1.0208652152353714
9,UHT-milk,yogurt,0.03345195729537367,0.13950177935943062,0.007422470767666497,0.22188449848024314,1.590549593697661,0.0027558632019061844,1.1058746663701067
10,baking powder,other vegetables,0.017691916624300967,0.1934926283680732,0.007320793085917641,0.41379310344827586,2.138547121604726,0.0038975376374128378,1.375806692783875
11,other vegetables,baking powder,0.1934926283680732,0.017691916624300967,0.007320793085917641,0.03783499737256962,2.1385471216047254,0.0038975376374128378,1.0209351625690635
12,baking powder,whole milk,0.017691916624300967,0.25551601423487547,0.009252669039145907,0.5229885057471264,2.0467934556398677,0.004732101019128791,1.5607254641341164
13,whole milk,baking powder,0.25551601423487547,0.017691916624300967,0.009252669039145907,0.0362116991643454,2.0467934556398677,0.004732101019128791,1.0192156125198728
14,beef,bottled water,0.05246568378240976,0.11052364006100661,0.0062023385866802234,0.1182170542635659,1.0696087660369555,0.00040364023675857567,1.0087248389637815
15,bottled water,beef,0.11052364006100661,0.05246568378240976,0.0062023385866802234,0.05611775528978841,1.0696087660369553,0.00040364023675857567,1.003869202464445
16,beef,butter,0.05246568378240976,0.05541433655312659,0.005795627859684799,0.11046511627906977,1.9934393001920205,0.002888276801076429,1.061887151064459
17,butter,beef,0.05541433655312659,0.05246568378240976,0.005795627859684799,0.10458715596330276,1.9934393001920205,0.002888276801076429,1.0582094310216938
18,beef,citrus fruit,0.05246568378240976,0.08276563294356888,0.008439247585155059,0.16085271317829458,1.9434722777746036,0.0040968920590867776,1.0930552734436916
19,citrus fruit,beef,0.08276563294356888,0.05246568378240976,0.008439247585155059,0.10196560196560198,1.9434722777746036,0.0040968920590867776,1.0551202919303946
20,beef,domestic eggs,0.05246568378240976,0.06344687341128623,0.005998983223182512,0.11434108527131784,1.802154765454184,0.002670199625803387,1.0574647993868191
21,domestic eggs,beef,0.06344687341128623,0.05246568378240976,0.005998983223182512,0.09455128205128205,1.802154765454184,0.002670199625803387,1.046480377557126
22,beef,fruit/vegetable juice,0.05246568378240976,0.0722928317234367,0.005083884087442806,0.09689922480620154,1.3403711335710158,0.0012909912385060153,1.027246564014392
23,fruit/vegetable juice,beef,0.0722928317234367,0.05246568378240976,0.005083884087442806,0.07032348804500703,1.3403711335710158,0.0012909912385060153,1.019208621529057
24,beef,margarine,0.05246568378240976,0.05856634468734113,0.0062023385866802234,0.1182170542635659,2.0185151539621016,0.00312961526602257,1.067647837673257
25,margarine,beef,0.05856634468734113,0.05246568378240976,0.0062023385866802234,0.10590277777777778,2.0185151539621016,0.00312961526602257,1.0597665361967612
26,beef,newspapers,0.05246568378240976,0.07981698017285206,0.006405693950177936,0.12209302325581395,1.5296622722559619,0.00221804150796221,1.0481554927832413
27,newspapers,beef,0.07981698017285206,0.05246568378240976,0.006405693950177936,0.08025477707006369,1.529662272255962,0.00221804150796221,1.0302139033667705
28,beef,other vegetables,0.05246568378240976,0.1934926283680732,0.019725470259278087,0.37596899224806196,1.943066231613079,0.009573747205091429,1.2924155396337709
29,other vegetables,beef,0.1934926283680732,0.05246568378240976,0.019725470259278087,0.10194429847609038,1.9430662316130791,0.009573747205091429,1.0550952625875214
30,pastry,beef,0.08896797153024912,0.05246568378240976,0.00630401626842908,0.07085714285714285,1.3505426356589147,0.0016362508073605956,1.0197940057692392
31,beef,pastry,0.05246568378240976,0.08896797153024912,0.00630401626842908,0.12015503875968993,1.3505426356589147,0.0016362508073605956,1.0354460940316992
32,beef,pork,0.05246568378240976,0.05765124555160142,0.007625826131164209,0.14534883720930233,2.521174275050244,0.004601114112391832,1.1026121480620719
33,pork,beef,0.05765124555160142,0.05246568378240976,0.007625826131164209,0.13227513227513227,2.5211742750502437,0.004601114112391832,1.0919755229580765
34,beef,rolls/buns,0.05246568378240976,0.18393492628368074,0.01362480935434672,0.2596899224806201,1.4118575940281364,0.003974537675406276,1.102328738318379
35,rolls/buns,beef,0.18393492628368074,0.05246568378240976,0.01362480935434672,0.07407407407407407,1.4118575940281366,0.003974537675406276,1.0233370615149975
36,beef,root vegetables,0.05246568378240976,0.10899847483477376,0.017386883579054397,0.3313953488372093,3.0403668431100312,0.011668204065608208,1.3326283680732078
